epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.4247,1.10358,1,1,0.4179,0.0002625,0.0002625,0.0002625
2,39.1558,0.29287,1,1,0.00759,0.000484288,0.000484288,0.000484288
3,40.7312,0.06008,1,1,0.00027,0.000651625,0.000651625,0.000651625
4,42.3227,0.02562,1,1,7e-05,0.000764513,0.000764513,0.000764513
5,44.03,0.02137,1,1,6e-05,0.000755,0.000755,0.000755
6,45.6483,0.02076,1,1,3e-05,0.00063125,0.00063125,0.00063125
7,47.2472,0.01364,1,1,3e-05,0.0005075,0.0005075,0.0005075
8,48.8927,0.00547,1,1,2e-05,0.00038375,0.00038375,0.00038375
9,50.4755,0.00435,1,1,3e-05,0.00026,0.00026,0.00026
10,52.1024,0.01499,1,1,3e-05,0.00013625,0.00013625,0.00013625
